TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55
0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.1024;0.1802;0.2122;0.2136;0.2024;0.1776;0;0;0;0;0
10;0;0.3796;0.6657;0.7799;0.786;0.7474;0.6608;0;0;0;0;0
15;0;0.7865;1.3735;1.5992;1.6142;1.5414;1.3755;0;0;0;0;0
20;0;1.2781;2.2209;2.5666;2.5953;2.491;2.2477;0;0;0;0;0
25;0;1.8093;3.1251;3.5784;3.6266;3.5027;3.203;0;0;0;0;0
30;0;2.3351;4.0033;4.5308;4.6052;4.483;4.1673;0;0;0;0;0
35;0;2.8105;4.7725;5.3203;5.4281;5.3384;5.0665;0;0;0;0;0
40;0;3.1974;5.3621;5.8647;6.013;5.9903;5.8301;0;0;0;0;0
45;0;3.5105;5.7906;6.2414;6.4277;6.4703;6.4148;0;0;0;0;0
50;0;3.7773;6.1105;6.5584;6.7727;6.8484;6.8302;0;0;0;0;0
55;0;4.0014;6.3607;6.8328;7.0711;7.169;7.1733;0;0;0;0;0
60;0;4.1835;6.567;7.0725;7.333;7.455;7.49;2.0201;0;0;0;0
65;0;4.3227;6.7388;7.2863;7.5665;7.7143;7.7789;4.0939;0;0;0;0
70;0;4.4115;6.854;7.4775;7.779;7.952;8.042;5.726;0;0;0;0
75;0;4.5137;6.8889;7.6514;7.9795;8.1758;8.2876;6.9803;0;0;0;0
80;0;4.779;7.076;7.827;8.185;8.4075;8.544;7.9208;0;0;0;0
85;0;4.9528;7.234;8.01;8.3989;8.6537;8.8228;8.6113;0;0;0;0
90;0;5.047;7.345;8.1395;8.561;8.847;9.049;9.116;0;0;0;0
95;0;5.0735;7.4534;8.1535;8.6104;8.9181;9.1446;9.4987;0;0;0;0
100;0;5.0436;7.5427;8.1059;8.6393;9.2747;9.5909;9.8234;0;0;0;0
105;0;4.968;7.581;8.514;9.137;9.6315;10.0195;10.154;0;0;0;0
110;0;4.8562;7.5441;8.7734;9.4693;9.9376;10.4116;10.5414;0;0;0;0
115;0;4.711;7.4397;8.9019;9.706;10.2553;10.8084;10.984;2.7821;0;0;0
120;0;4.5335;7.283;8.9175;9.917;10.6472;11.251;11.467;5.2571;0;0;0
125;0;4.3263;7.0878;8.8372;10.1416;11.1363;11.7601;11.9748;7.425;0;0;0
130;0;4.0978;6.8616;8.6753;10.2972;11.5877;12.2741;12.4879;9.2857;0;0;0
135;0;3.858;6.61;8.4455;10.271;11.827;12.711;12.986;10.8393;3.8501;0;0
140;0;3.6168;6.3397;8.1647;9.9933;11.7341;12.9984;13.4343;12.0857;7.0302;0;0
145;0;3.3838;6.061;7.8635;9.5681;11.4058;13.1032;13.74;13.025;9.5405;0;0
150;0;3.1685;5.785;7.576;9.143;11;13.002;13.796;13.6571;11.3807;0;0
155;0;2.9793;5.5227;7.3293;8.8326;10.9554;12.6948;13.541;13.9821;12.5509;4.1764;0
160;0;2.8195;5.2841;7.1222;8.6209;10.5952;12.5;13.097;14;13.0512;6.9607;0
165;0;2.6915;5.079;6.9465;8.459;10.041;12.3375;12.632;13.7107;12.8816;8.3528;0
170;0;2.5974;4.9177;6.7989;8.3119;9.8243;11.5508;12.285;13.1143;12.0419;8.3528;0
175;0;2.5393;4.812;6.6952;8.1991;9.6754;11.3636;12.0802;12.2107;10.5324;6.9607;0
180;0;2.5195;4.774;6.656;8.154;9.62;11.301;12.013;11;8.3528;4.1764;0
