TWA\TWS;8;10;12;14;16;20;22;24;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.710;3.410;4.930;6.060;6.600;6.810;6.910;6.960
45;5.678;4.776;3.410;4.930;6.060;6.600;6.810;6.910;6.960
60;4.935;5.454;4.490;6.120;7.000;7.190;7.570;7.730;7.790
70;5.098;5.629;4.730;6.330;7.120;7.330;7.850;8.090;8.170
80;5.154;5.687;4.800;6.380;7.150;7.360;8.100;8.420;8.530
90;5.075;5.599;4.730;6.330;7.310;7.450;8.060;8.460;8.810
110;4.652;5.139;4.680;6.400;7.260;7.530;8.290;8.580;8.830
120;4.373;4.885;4.430;6.120;7.060;7.370;8.220;8.720;9.060
135;3.954;4.529;3.720;5.350;6.560;6.950;7.790;8.340;8.900
150;3.744;4.371;2.950;4.400;5.660;6.350;7.210;7.700;8.180
165;3.627;4.263;2.400;3.630;4.780;5.580;6.640;7.220;7.700
180;3.483;4.119;2.190;3.320;4.410;5.200;6.310;6.950;7.450
