TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.610;1.230;1.420;1.570;1.630;1.330;0.250;0.000;0.000;0.000;0.000;0.000
10;0.000;1.220;2.470;2.830;3.130;3.250;2.670;0.500;0.000;0.000;0.000;0.000;0.000
15;0.000;1.830;3.700;4.250;4.700;4.880;4.000;0.750;0.000;0.000;0.000;0.000;0.000
20;0.000;2.430;4.930;5.670;6.270;6.500;5.330;1.000;0.000;0.000;0.000;0.000;0.000
25;0.000;3.040;6.170;7.080;7.830;8.130;6.670;1.250;0.000;0.000;0.000;0.000;0.000
30;0.000;3.650;7.400;8.500;9.400;9.750;8.000;1.500;0.000;0.000;0.000;0.000;0.000
35;0.000;4.050;8.130;9.410;10.600;11.100;9.200;3.490;1.900;1.000;0.280;0.050;0.000
40;0.000;4.450;8.850;10.330;11.800;12.450;10.400;5.480;3.800;2.000;0.550;0.100;0.000
45;0.000;4.850;9.580;11.240;13.000;13.800;11.600;7.460;5.700;3.000;0.830;0.150;0.000
50;0.000;5.250;10.300;12.150;14.200;15.150;12.800;9.450;7.600;4.000;1.100;0.200;0.000
55;0.000;5.410;10.530;12.570;14.880;15.970;13.620;10.160;8.200;4.630;1.680;0.390;0.000
60;0.000;5.570;10.770;12.980;15.570;16.780;14.430;10.870;8.800;5.250;2.270;0.580;0.000
65;0.000;5.730;11.000;13.400;16.250;17.600;15.250;11.580;9.400;5.880;2.850;0.780;0.000
70;0.000;5.880;11.230;13.820;16.930;18.420;16.070;12.280;10.000;6.500;3.430;0.970;0.000
75;0.000;6.040;11.470;14.230;17.620;19.230;16.880;12.990;10.600;7.130;4.020;1.160;0.000
80;0.000;6.200;11.700;14.650;18.300;20.050;17.700;13.700;11.200;7.750;4.600;1.350;0.000
85;0.000;6.250;11.720;14.830;18.750;20.660;18.380;14.410;11.820;8.390;5.170;1.770;0.230
90;0.000;6.290;11.740;15.010;19.200;21.270;19.060;15.120;12.440;9.030;5.740;2.190;0.460
95;0.000;6.340;11.760;15.190;19.650;21.880;19.740;15.830;13.060;9.670;6.310;2.610;0.690
100;0.000;6.380;11.780;15.370;20.100;22.490;20.420;16.540;13.680;10.310;6.880;3.030;0.920
105;0.000;6.430;11.800;15.550;20.550;23.100;21.100;17.250;14.300;10.950;7.450;3.450;1.150
110;0.000;6.470;11.820;15.730;21.000;23.710;21.780;17.960;14.920;11.590;8.020;3.870;1.380
115;0.000;6.520;11.840;15.910;21.450;24.320;22.460;18.670;15.540;12.230;8.590;4.290;1.610
120;0.000;6.560;11.860;16.090;21.900;24.930;23.140;19.380;16.160;12.870;9.160;4.710;1.840
125;0.000;6.610;11.880;16.270;22.350;25.540;23.820;20.090;16.780;13.510;9.730;5.130;2.070
130;0.000;6.650;11.900;16.450;22.800;26.150;24.500;20.800;17.400;14.150;10.300;5.550;2.300
135;0.000;6.430;11.550;16.150;22.800;26.200;25.000;21.330;17.700;14.550;10.800;5.900;2.500
140;0.000;6.200;11.200;15.850;22.800;26.250;25.500;21.850;18.000;14.950;11.300;6.250;2.700
145;0.000;5.830;10.600;15.000;21.900;25.900;25.400;22.380;18.300;15.380;11.800;6.600;2.950
150;0.000;5.450;10.000;14.150;21.000;25.550;25.300;22.900;18.600;15.800;12.300;6.950;3.200
155;0.000;5.120;9.420;13.310;19.670;23.970;23.880;21.840;18.130;15.630;12.230;6.890;3.150
160;0.000;4.780;8.830;12.470;18.330;22.380;22.470;20.780;17.670;15.450;12.170;6.830;3.100
165;0.000;4.450;8.250;11.630;17.000;20.800;21.050;19.730;17.200;15.280;12.100;6.780;3.050
170;0.000;4.120;7.670;10.780;15.670;19.220;19.630;18.670;16.730;15.100;12.030;6.720;3.000
175;0.000;3.780;7.080;9.940;14.330;17.630;18.220;17.610;16.270;14.930;11.970;6.660;2.950
180;0.000;3.520;6.620;9.270;13.270;16.370;17.080;16.760;15.890;14.790;11.910;6.610;2.910
